monotonic_ns,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
24266638454949,177009.962000,1.644328,-3.540264,0.330423,-3.639548,-1.593651,3.824754,0.000000,0.000000,-0.000000,0.000000,0.000127,0.970351
24266640466093,177009.964000,1.644316,-3.540276,0.330423,-3.639548,-1.593675,3.826776,0.000000,0.000000,-0.000000,0.000000,0.000125,0.971878
24266642439476,177009.966000,1.644340,-3.540312,0.330411,-3.639536,-1.593663,3.828747,0.000000,0.000000,-0.000000,0.000000,0.000123,0.970930
24266644488301,177009.968000,1.644328,-3.540300,0.330435,-3.639548,-1.593675,3.830742,0.000000,0.000000,-0.000000,0.000000,0.000121,0.967373
24266646529562,177009.970000,1.644304,-3.540276,0.330411,-3.639572,-1.593639,3.832715,0.000000,0.000000,-0.000000,0.000000,0.000115,0.966161
24266648484685,177009.972000,1.644340,-3.540288,0.330435,-3.639560,-1.593675,3.834651,0.000000,0.000000,-0.000000,0.000000,0.000111,0.962105
24266650451118,177009.974000,1.644352,-3.540264,0.330423,-3.639548,-1.593639,3.836550,0.000000,0.000000,-0.000000,0.000000,0.000109,0.958640
24266652508381,177009.976000,1.644316,-3.540300,0.330423,-3.639560,-1.593627,3.838402,0.000000,0.000000,-0.000000,0.000000,0.000106,0.956856
24266654501439,177009.978000,1.644328,-3.540264,0.330435,-3.639548,-1.593651,3.840245,0.000000,0.000000,-0.000000,0.000000,0.000104,0.955269
24266656559261,177009.980000,1.644328,-3.540288,0.330399,-3.639560,-1.593675,3.842169,0.000000,0.000000,-0.000000,0.000000,0.000101,0.953921
24266658448274,177009.982000,1.644316,-3.540240,0.330386,-3.639548,-1.593651,3.844045,0.000000,0.000000,-0.000000,0.000000,0.000099,0.953848
24266660498208,177009.984000,1.644340,-3.540252,0.330375,-3.639548,-1.593699,3.845911,0.000000,0.000000,-0.000000,0.000000,0.000097,0.953645
24266662441647,177009.986000,1.644352,-3.540300,0.330435,-3.639572,-1.593663,3.847820,0.000000,0.000000,-0.000000,0.000000,0.000095,0.952524
24266664477223,177009.988000,1.644328,-3.540264,0.330399,-3.639560,-1.593651,3.849686,0.000000,0.000000,-0.000000,0.000000,0.000093,0.952737
24266666573073,177009.990000,1.644340,-3.540264,0.330411,-3.639512,-1.593639,3.851574,0.000000,0.000000,-0.000000,0.000000,0.000100,0.950682
24266668532371,177009.992000,1.644340,-3.540264,0.330399,-3.639548,-1.593663,3.853474,0.000000,0.000000,-0.000000,0.000000,0.000106,0.948733
24266670499779,177009.994000,1.644340,-3.540288,0.330386,-3.639584,-1.593675,3.855328,0.000000,0.000000,-0.000000,0.000000,0.000105,0.947749
24266672524211,177009.996000,1.644340,-3.540288,0.330411,-3.639560,-1.593651,3.857301,0.000000,0.000000,-0.000000,0.000000,0.000103,0.948115
24266674525499,177009.998000,1.644328,-3.540300,0.330399,-3.639560,-1.593675,3.859223,0.000000,0.000000,-0.000000,0.000000,0.000101,0.944705
24266676497610,177010.000000,1.644340,-3.540276,0.330411,-3.639548,-1.593675,3.861162,0.000000,0.000000,-0.000000,0.000000,0.000099,0.944964
24266678494229,177010.002000,1.644340,-3.540312,0.330411,-3.639560,-1.593639,3.863109,0.000000,0.000000,-0.000000,0.000000,0.000097,0.942806
24266680490063,177010.004000,1.644352,-3.540312,0.330411,-3.639524,-1.593651,3.864961,0.000000,0.000000,-0.000000,0.000000,0.000096,0.940113
24266682445805,177010.006000,1.644316,-3.540276,0.330423,-3.639548,-1.593675,3.866801,0.000000,0.000000,-0.000000,0.000000,0.000094,0.934662
24266684480603,177010.008000,1.644328,-3.540288,0.330411,-3.639560,-1.593675,3.868702,0.000000,0.000000,-0.000000,0.000000,0.000092,0.933090
