monotonic_ns,frame_time_ns,vector_x,vector_y
790549680626468,790549682050908,-0.01212032,0.99992655
790549713617532,790549715407196,-0.00000000,1.00000000
790549746612967,790549748763228,0.03944297,0.99922182
790549780023796,790549782119260,0.06992190,0.99755247
790549814025087,790549815475548,0.08802902,0.99611791
790549847627684,790549848831324,0.12236124,0.99248563
790549880694416,790549882187612,0.13946852,0.99022651
790549913672238,790549915544156,0.15799050,0.98744063
790549946666593,790549948900700,0.18901838,0.98197355
790549980847460,790549982257500,0.20578001,0.97859828
790550013919988,790550015613788,0.22485951,0.97439120
790550046980774,790550048970588,0.22282480,0.97485851
790550081087744,790550082327132,0.20987867,0.97772744
790550114082132,790550115683676,0.22236034,0.97496455
790550147142865,790550149040476,0.20952909,0.97780241
790550181282183,790550182396764,0.20791527,0.97814684
790550214263947,790550215753308,0.20985479,0.97773256
790550247314613,790550249109852,0.20395425,0.97898042
790550280329804,790550282466396,0.19415065,0.98097172
790550314453588,790550315822940,0.19437721,0.98092686
790550347513477,790550349179484,0.17406904,0.98473345
790550380645754,790550382536028,0.17432285,0.98468855
790550413738455,790550415892316,0.15817744,0.98741070
790550447976972,790550449248860,0.15596257,0.98776297
790550481018402,790550482605404,0.13699398,0.99057188
790550513986172,790550515961948,0.12207476,0.99252091
790550548079760,790550549318492,0.11933344,0.99285423
790550581078982,790550582674780,0.10321929,0.99465862
790550614073818,790550616031324,0.08843717,0.99608176
790550648142280,790550649387868,0.08362217,0.99649753
790550681140243,790550682743900,0.05221625,0.99863580
790550714141114,790550716100444,0.03781078,0.99928492
790550748258382,790550749456988,0.02939905,0.99956775
790550781332313,790550782813276,0.01492371,0.99988864
790550814313171,790550816169820,-0.00000000,1.00000000
790550848320561,790550849525852,-0.03099286,0.99951961
790550881270733,790550882882396,-0.05021590,0.99873839
790550914224085,790550916238428,-0.08213908,0.99662088
790550948326948,790550949594204,-0.10187680,0.99479702
790550981258849,790550982949980,-0.12033137,0.99273378
790551015275252,790551016306012,-0.14225110,0.98983060
790551048331032,790551049661788,-0.17007442,0.98543122
790551081318833,790551083017564,-0.19056053,0.98167545
790551114266970,790551116373340,-0.22349904,0.97470415
790551148318775,790551149729116,-0.24127386,0.97045707
790551181262152,790551183085148,-0.27535911,0.96134144
790551215265793,790551216440668,-0.30515751,0.95230189
790551248192967,790551249796444,-0.32314385,0.94634986
790551281083000,790551283152220,-0.37255828,0.92800880
790551315141471,790551316508252,-0.37812508,0.92575451
790551348144525,790551349863772,-0.40794006,0.91300871
790551381136444,790551383219548,-0.45311401,0.89145257
790551414583830,790551416575324,-0.48413374,0.87499401
