monotonic_ns,encoder_value
24251915226484,0.000000
24251921443758,0.000000
24251927716349,0.000000
24251939039297,0.000000
24251945237766,0.000000
24251956589119,0.000000
24251962982554,0.000000
24251969243519,0.000000
24251980543142,0.000000
24251986784855,0.000000
24251993023820,0.000000
24252004334971,0.000000
24252010652723,0.000000
24252016866482,0.000000
24252028165104,0.000000
24252034368166,0.000000
24252045638718,0.000000
24252051841906,0.000000
24252058078158,0.000000
24252069382177,0.000000
24252075738433,0.000000
24252082044189,0.000000
24252093391126,0.000000
24252099660265,0.000000
24252105860733,0.000000
24252117148290,0.000000
24252123355273,0.000000
24252134702070,0.000000
24252140939276,0.000000
24252147173593,0.000000
24252158524957,0.000000
24252164821692,0.000000
24252171056947,0.000000
24252182415596,0.000000
24252188671306,0.000000
24252194956059,0.000000
24252206319349,0.000000
24252212604706,0.000000
24252218776603,0.000000
24252230034475,0.000000
24252236224305,0.000000
24252242414952,0.000000
24252253678992,0.000000
24252259858838,0.000000
24252271116484,0.000000
24252277296619,0.000000
24252283482571,0.000000
24252294766014,0.000000
24252300981081,0.000000
24252312284724,0.000000
24252318529253,0.000000
24252324752089,0.000000
24252336023428,0.000000
24252342231114,0.000000
24252348386624,0.000000
24252359650062,0.000000
24252365891920,0.000000
24252372193362,0.000000
24252383681235,0.000000
24252389971012,0.000000
24252396523224,0.000000
24252407921582,0.000000
24252414200038,0.000000
24252420534005,0.000000
24252431984901,0.000000
24252438319277,0.000000
24252444588057,0.000000
24252455980886,0.000000
24252462276803,0.000000
24252468537349,0.000000
24252480028604,0.000000
24252486331240,0.000000
24252497783669,0.000000
24252504238158,0.000000
24252510600929,0.000000
24252516935715,0.000000
24252528362651,0.000000
24252534708450,0.000000
24252541136855,0.000000
24252552770428,0.000000
24252559195428,0.000000
24252565527752,0.000000
24252577049091,0.000000
24252583314131,0.000000
24252589559661,0.000000
24252600906658,0.000000
24252607183721,0.000000
24252613408164,0.000000
24252624807820,0.000000
24252631231520,0.000000
24252637573020,0.000000
24252649266542,0.000000
24252655615648,0.000000
24252661862289,0.000000
24252675027262,0.000000
24252697451023,0.000000
24252708674345,0.000000
24252714816173,0.000000
24252726028045,0.000000
24252732172795,0.000000
24252740387729,0.000000
24252746529231,0.000000
24252757751546,0.000000
24252763907648,0.000000
24252775109820,0.000000
24252781255533,0.000000
24252787394628,0.000000
24252798616300,0.000000
24252804785474,0.000000
24252816057469,0.000000
24252822224865,0.000000
24252828370122,0.000000
24252839590619,0.000000
24252845772680,0.000000
24252851939686,0.000000
24252863161670,0.000000
24252869382022,0.000000
24252880624903,0.000000
24252886785172,0.000000
24252892957409,0.000000
24252904241019,0.000000
24252910601719,0.000000
24252916846527,0.000000
24252928185261,0.000000
24252934437048,0.000000
24252940734496,0.000000
24252952120862,0.000000
24252958409632,0.000000
24252969874255,0.000000
24252976171446,0.000000
24252982493224,0.000000
24252993832944,0.000000
24253000228427,0.000000
24253006634158,0.000000
24253017990733,0.000000
24253024213778,0.000000
24253030396798,0.000000
24253041683815,0.000000
24253047886375,0.000000
24253054101951,0.000000
24253065361054,0.000000
24253071598657,0.000000
24253077799041,0.000000
24253089197372,0.000000
24253095461995,0.000000
24253101656211,0.000000
24253112916906,0.000000
